tag_id,name,category,count,original_en
9999999,全年齢,9,1589178,general
9999998,やや過激,9,3994361,sensitive
9999997,過激,9,892496,questionable
9999996,露骨,9,706509,explicit
470575,一人の女の子,0,5113288,1girl
212816,ソロ,0,4253220,solo
13197,ロングヘア,0,3645082,long_hair
8601,胸,0,2889545,breasts
469576,こちらを見ている,0,2696730,looking_at_viewer
3389,赤面,0,2496356,blush
1815,笑顔,0,2365730,smile
11906,開いた口,0,1950469,open_mouth
15080,ショートヘア,0,1904624,short_hair
10959,碧眼,0,1490640,blue_eyes
412368,単色背景,0,1420030,simple_background
12590,シャツ,0,1382452,shirt
403247,巨乳,0,1333379,large_breasts
429,スカート,0,1328225,skirt
87788,金髪,0,1311581,blonde_hair
566835,複数人の女の子,0,1309199,multiple_girls
16867,茶髪,0,1267072,brown_hair
13200,黒髪,0,1225953,black_hair
383159,長袖,0,1199349,long_sleeves
380350,髪飾り,0,1175185,hair_ornament
515193,白色背景,0,1161729,white_background
540830,一人の男の子,0,1129709,1boy
5735,手袋,0,1113040,gloves
8526,赤目,0,1081613,red_eyes
2241,ドレス,0,1046050,dress
1882,ニーハイ,0,1034635,thighhighs
2373,帽子,0,1034610,hat
375372,持っている,0,1022399,holding
4563,結びリボン,0,984380,bow
9294,おへそ,0,974528,navel
6126,獣耳,0,950191,animal_ears
464575,リボン,0,937186,ribbon
658573,目にかかる髪,0,922798,hair_between_eyes
572080,閉じ口,0,876401,closed_mouth
1821,二人の女の子,0,860944,2girls
4607,胸の谷間,0,848453,cleavage
16613,宝石,0,829749,jewelry
376054,肩出し,0,815753,bare_shoulders
417660,とても長い髪,0,783428,very_long_hair
12289,座り,0,782247,sitting
1709,ツインテール,0,770972,twintails
667868,中くらいの胸,0,770389,medium_breasts
16578,茶目,0,747352,brown_eyes
15675,立っている,0,733225,standing
8889,乳首,0,717669,nipples
10960,翠眼,0,711390,green_eyes
464906,下着,0,706352,underwear
10953,青髪,0,704952,blue_hair
3843,ジャケット,0,700303,jacket
16509,制服,0,688100,school_uniform
15654,紫目,0,669153,purple_eyes
466499,鎖骨,0,655630,collarbone
15674,しっぽ,0,634183,tail
376766,白シャツ,0,629056,white_shirt
608813,全身,0,624413,full_body
547463,上半身,0,595301,upper_body
391,パンツ,0,580171,panties
465619,閉じ目,0,570045,closed_eyes
89189,金目,0,565375,yellow_eyes
444,水着,0,564464,swimsuit
16581,白髪,0,563701,white_hair
11429,ピンク髪,0,551851,pink_hair
1681,モノクロ,0,547787,monochrome
16580,グレーの髪,0,529760,grey_hair
3522,アホ毛,0,528662,ahoge
4334,三つ編み,0,525679,braid
464561,リボンの髪飾り,0,525639,hair_ribbon
16442,紫髪,0,524002,purple_hair
1300281,男性中心,0,516211,male_focus
2355,ポニーテール,0,514797,ponytail
8101,お尻,0,513666,ass
464559,花,0,512140,flower
11449,武器,0,506828,weapon
390728,派手髪 / 多色髪,0,501249,multicolored_hair
472154,半袖,0,499860,short_sleeves
484168,横髪,0,484224,sidelocks
63,漫画,0,474986,comic
622137,異性愛,0,472134,hetero
2750,ハート,0,467808,heart
3870,太もも,0,465668,thighs
384553,:D,0,464842,:d
374844,ヘアボウ,0,455229,hair_bow
2363,パンスト,0,441476,pantyhose
13879,屋外,0,439693,outdoors
660909,ニーアップ,0,438408,cowboy_shot
13804,イヤリング,0,434737,earrings
513837,白黒,0,432002,greyscale
6539,ビキニ,0,426322,bikini
4569,汗,0,425602,sweat
5403,赤髪,0,424264,red_hair
2365,裸,0,422321,nude
383282,プリーツスカート,0,416655,pleated_skirt
465265,貧乳,0,413326,small_breasts
194013,フリル,0,401738,frills
2376,ヘアバンド,0,397872,hairband
664375,半開きの口,0,396122,parted_lips
4352,修正済み,0,388593,censored
5827,ブーツ,0,384723,boots
375669,服を開ける,0,384414,open_clothes
301022,横臥,0,380092,lying
2785,角,0,374048,horns
6054,歯,0,370407,teeth
568656,複数人の男の子,0,367969,multiple_boys
2866,翼,0,366146,wings
1575,食べ物,0,362486,food
384774,ネクタイ,0,360748,necktie
461042,ウィンク,0,359739,one_eye_closed
387884,付け袖,0,358429,detached_sleeves
406,空,0,357335,sky
4190,チンコ,0,346918,penis
3985,ショートパンツ,0,345909,shorts
8388,緑髪,0,345032,green_hair
1707,和服,0,344888,japanese_clothes
8672,靴,0,343802,shoes
400314,袖なし,0,341431,sleeveless
474820,黒手袋,0,331176,black_gloves
431446,別衣装,0,330775,alternate_costume
478849,襟付きシャツ,0,321941,collared_shirt
4025,チョーカー,0,320504,choker
11826,裸足,0,316857,barefoot
4378,マンコ,0,313579,pussy
1731,靴下,0,309931,socks
6532,メガネ,0,309385,glasses
10863,舌,0,309295,tongue
15522,エルフ耳,0,307225,pointy_ears
931006,ソロフォーカス,0,304477,solo_focus
10926,ズボン,0,303036,pants
435324,昼間,0,294620,day
1407561,バーチャルYouTuber,0,287601,virtual_youtuber
268819,セーラー服,0,285501,serafuku
375171,屋内,0,281809,indoors
581144,パフスリーブ,0,281250,puffy_sleeves
657955,作者名,0,280968,artist_name
2646,ヘアクリップ,0,280648,hairclip
426781,ミディアムヘア,0,273659,medium_hair
9864,ベルト,0,271864,belt
1793,八重歯,0,269175,fang
455880,黒ニーソ,0,266928,black_thighhighs
539367,手を挙げる,0,265393,hand_up
10228,長手袋,0,265300,elbow_gloves
9843,へそ出し / ミッドリフ,0,258987,midriff
410129,振り返り,0,245547,looking_back
464549,雲,0,244228,cloud
474821,白手袋,0,242027,white_gloves
411263,サイン付き,0,238587,signature
11628,蝶ネクタイ,0,236148,bowtie
5948,フード,0,235850,hood
401228,剣,0,235273,sword
374628,黒スカート,0,233282,black_skirt
71730,褐色肌,0,233165,dark_skin
449194,二人の男の子,0,232894,2boys
72,猫耳,0,232052,cat_ears
537684,ぱっつん,0,230036,blunt_bangs
400123,お花の髪飾り,0,229731,hair_flower
1515536,公式の別のコスチューム,0,225665,official_alternate_costume
502710,舌出し,0,225097,tongue_out
2357,セックス,0,224302,sex
16252,開脚,0,220686,spread_legs
16750,ピンク目,0,219657,pink_eyes
389378,セーラーカラー,0,218314,sailor_collar
394970,広い袖,0,217852,wide_sleeves
9168,ミニスカート,0,216954,miniskirt
467104,腹部,0,216728,stomach
375020,指無し手袋,0,215557,fingerless_gloves
1842,精液,0,214632,cum
401481,仰向け,0,214058,on_back
6010,涙,0,212598,tears
659098,黒靴,0,212435,black_footwear
632214,灰色背景,0,211830,grey_background
399836,三人の女の子,0,210649,3girls
5576,脇の下,0,207204,armpits
1254363,Xユーザー名,0,204487,twitter_username
445,着物,0,203282,kimono
14620,白ドレス,0,200841,white_dress
670071,武器持ち,0,199609,holding_weapon
375229,オフショルダー,0,198797,off_shoulder
4068,ネックレス,0,198325,necklace
491647,縞模様の服,0,198065,striped_clothes
454933,お団子,0,196126,hair_bun
102962,マニキュア,0,194099,nail_polish
234192,後ろから,0,194007,from_behind
656624,星,0,193728,star_(symbol)
4019,ほくろ,0,193676,mole
641577,よそ見,0,193341,looking_at_another
1573,水,0,192003,water
399541,髪で片目隠れ,0,191524,hair_over_one_eye
4333,バッグ,0,189775,bag
465583,うさみみ,0,189631,rabbit_ears
1747,ちびキャラ,0,189310,chibi
87676,オレンジ髪,0,188757,orange_hair
